country,capture,aquaculture
China,17800000,63700000
Indonesia,6584419,16600000
India,5082332,5703002
Vietnam,2785940,3634531
United States,4931017,444369
Russia,4773413,173840
Japan,3275263,1067994
Philippines,2027992,2200914
Peru,3811802,100187
Bangladesh,1674770,2203554
Norway,2203360,1326216
South Korea,1395951,1859220
Myanmar,2072390,1017644
Chile,1829238,1050117
Thailand,1530583,962571
Malaysia,1584371,407887
Mexico,1524467,221328
Egypt,335614,1370660
Morocco,1454105,1142
Brazil,705000,581230
Spain,915137,283831
Ecuador,715495,451090
Iceland,1085176,15129
Iran,695407,398129
Canada,874727,200765
Nigeria,734731,306727
United Kingdom,702405,194492
Cambodia,629950,172500
North Korea,209000,554100
Argentina,755226,3673
France,561173,166640
Denmark,670344,36337
Pakistan,513156,156430
Faroe Islands,568435,83300
South Africa,622070,7994
Mauritania,609754,0
Turkey,335326,250331
Sri Lanka,521637,30974
New Zealand,424791,109016
Uganda,389244,118051
Namibia,503878,591
Angola,486490,655
Senegal,474162,2079
Netherlands,370274,62940
Tanzania,370966,12547
Ghana,327457,52480
Italy,198130,157109
Papua New Guinea,309245,6200
Germany,271185,41721
Venezuela,284175,25998
Mozambique,299591,1180
Ireland,259845,40244
Oman,279606,103
Greenland,273175,0
Australia,174629,96847
Poland,218115,38300
Democratic Republic of the Congo,237372,3161
Cameroon,233190,2315
Sweden,208783,15747
Finland,192065,14412
Sierra Leone,202100,75
Greece,76362,123410
Portugal,186950,9787
Kenya,171391,15360
Colombia,86344,96970
Laos,70915,109835
Kiribati,172822,3652
Madagascar,142333,25998
Malawi,152852,7646
Yemen,154450,0
Panama,144450,8808
Hong Kong,142775,4258
Tunisia,115064,16165
Maldives,129191,0
Guinea,128000,250
Seychelles,127128,0
Latvia,114806,788
Zambia,83918,30285
Lithuania,106945,4393
Chad,110000,94
Saudi Arabia,68082,39920
Mali,102486,4194
Ukraine,75743,21425
Algeria,95000,1361
Belize,91432,953
Federated States of Micronesia,88397,0
Croatia,72312,15805
Republic of the Congo,86748,177
Solomon Islands,66445,10582
Estonia,75931,868
United Arab Emirates,73000,1241
Ivory Coast,67500,4701
Nepal,21500,49043
Nicaragua,45500,22530
Saint Kitts and Nevis,65734,1
Uzbekistan,27267,38055
Marshall Islands,64795,5
Honduras,10600,53100
El Salvador,54084,7956
Gambia,58261,5
Iraq,28000,28835
Benin,49806,3080
Cuba,23574,29185
Uruguay,51500,70
Suriname,47013,102
Ethiopia,45500,95
Fiji,44663,754
Guatemala,19011,26268
Vanuatu,44002,16
Kazakhstan,41335,1878
Guyana,42142,337
Sudan,33002,4500
Costa Rica,14750,22421
Curaçao,35534,0
South Sudan,35000,20
Niger,34592,300
Togo,31891,98
Gabon,31000,45
Georgia,30078,670
Libya,30002,10
Somalia,30000,0
Central African Republic,29000,190
Belgium,26970,44
Rwanda,25013,580
Zimbabwe,15711,10085
Paraguay,17000,8500
Romania,12728,12574
Czech Republic,3507,20952
Bulgaria,8614,15762
Burundi,21805,1330
Saint Vincent and the Grenadines,23077,0
Burkina Faso,22070,470
Hungary,5048,16248
Israel,1758,18914
Armenia,3758,16381
Cape Verde,19900,0
Mauritius,18062,1021
Haiti,16510,1220
Jamaica,16800,620
Dominican Republic,14640,2285
Comoros,16407,0
French Polynesia,13754,1343
Turkmenistan,15000,30
Bahrain,15000,6
Liberia,14700,40
Qatar,14516,10
Brunei,13292,948
Trinidad and Tobago,13027,11
Moldova,50,16011
Belarus,686,11199
São Tomé and Príncipe,11750,0
Bahamas,11625,8
Bolivia,7000,3000
Serbia,2067,6878
Albania,7886,950
Samoa,8801,10
Malta,2420,6073
Cyprus,1507,6625
Equatorial Guinea,8000,15
Tuvalu,7684,3
Singapore,1234,6112
Isle of Man,7040,0
Syria,4500,3500
Guinea-Bissau,6700,0
Kuwait,5493,196
New Caledonia,3815,1587
Lebanon,4291,1015
Bosnia and Herzegovina,305,4564
Timor-Leste,3200,1560
Jersey and Guernsey,2985,1499
Eritrea,4300,0
Slovakia,1866,2169
Austria,350,3483
Palestine,3306,280
Switzerland,1851,1733
American Samoa,3047,20
Antigua and Barbuda,3000,10
Turks and Caicos Islands,2780,0
Grenada,2550,0
Montenegro,1595,929
Djibouti,2220,0
Afghanistan,1000,1200
Slovenia,311,1844
Saint Lucia,2097,32
Kyrgyzstan,89,1931
Puerto Rico,1901,20
Barbados,1735,26
Jordan,873,885
Tonga,1697,3
Tajikistan,1100,450
Guam,1391,110
Macao,1500,0
Azerbaijan,676,640
North Macedonia,306,986
British Virgin Islands,1200,0
Lesotho,52,1050
Northern Mariana Islands,950,42
Palau,818,23
Dominica,770,6
US Virgin Islands,551,8
Nauru,530,0
Bermuda,410,0
Sint Maarten,253,0
Eswatini,65,100
Bhutan,7,150
Aruba,142,0
Cayman Islands,125,0
Saint-Martin,90,0
Botswana,38,15
Mongolia,15,0
Monaco,1,0
Gibraltar,1,0
Andorra,0,0
Liechtenstein,0,0
Luxembourg,0,0
San Marino,0,0
